time,node,rx_bytes__enp6s0f0,rx_bytes__hsi0,tx_bytes__enp6s0f0,tx_bytes__hsi0,rate_rx_bytes__enp6s0f0_over_Time,rate_rx_bytes__hsi0_over_Time,rate_tx_bytes__enp6s0f0_over_Time,rate_tx_bytes__hsi0_over_Time,User,job,JobName,Start,End,Elapsed,NTasks,AllocCPUS
2018-08-28 01:24:21,rzgenie12,84650866910.0,1834219179312.0,57460046524.0,2727787622451.0,5397.052223414905,2773918.2381361895,8000.8256626310085,77699.79151624117,heterotaxia,4188257.182,prejudgment,2018-08-28 01:24:19,2018-08-28 01:24:25,6,4.0,36
2018-08-28 01:21:19,rzgenie13,91408517586.0,2120667804907.0,180734239563.0,3156637262320.0,4263.859749541719,564549.3496966973,3586.3138168252726,24863.215947728706,heterotaxia,4188257.164,peeved,2018-08-28 01:21:22,2018-08-28 01:21:25,3,4.0,36
2018-08-28 00:59:44,rzgenie11,93616095721.0,2149860719024.0,62972570766.0,2700302554008.0,142.7945017547528,3450.6671334404823,290.3888186945393,3864.251208550887,heterotaxia,4188256.177,mushrebiyeh,2018-08-28 00:52:57,2018-08-28 01:00:44,467,68.0,68
2018-08-28 13:51:36,rzgenie8,75635439819.0,2057509011180.0,41244596587.0,2821063674880.0,3800.842953480719,25372.68673776421,2605.2294418038227,9349.305656883273,Tritoness,4196569,winer,2018-08-28 13:51:42,2018-08-28 13:51:57,15,24.0,24
2018-08-28 06:50:24,rzgenie12,84709131847.0,1836629354402.0,57584425604.0,2729678424906.0,5693.827964796084,448.80220425734706,21873.60743053271,17830.087571097367,fribbler,4191991,physicked,2018-08-28 06:47:41,2018-08-28 06:50:40,179,4.0,4
2018-08-28 10:47:27,rzgenie30,30311659413.0,828430226809.0,10227438504.0,970843438413.0,23048.126474123845,129698.41353543331,23352.83872275559,4218646.378499654,transfluvial,4195734.225,calcify,2018-08-28 10:47:24,2018-08-28 10:47:40,16,4.0,4
2018-08-28 02:12:20,rzgenie43,19665533476.0,330832570200.0,4464144356.0,325968752885.0,93.89800083840493,10445.77760125642,257.29452199916494,438196.670451481,heterotaxia,4189069.331,kelek,2018-08-28 02:12:21,2018-08-28 02:14:13,112,4.0,4
2018-08-28 10:49:43,rzgenie27,38988419770.0,1060364674883.0,17100213599.0,1505400538177.0,7457.755831321026,54330.00673308645,6608.24947162471,23534.176184924174,transfluvial,4195183.194,blancmange,2018-08-28 10:49:46,2018-08-28 10:49:48,2,7.0,35
2018-08-28 16:27:57,rzgenie24,49639944557.0,1322203390692.0,23479509195.0,1682029435623.0,487.9053626149217,2818.0309732503574,1230.4135235937686,2567.228216653058,semiacidified,4195690,betongue,2018-08-28 10:22:59,2018-08-28 16:52:00,23341,,36
2018-08-28 02:05:31,rzgenie40,22268819156.0,382327031688.0,5838456008.0,462037728731.0,4464.265671251277,10241089.45079191,7496.210272448971,14266185.861676136,heterotaxia,4189069.241,lectrice,2018-08-28 02:04:30,2018-08-28 02:05:34,64,10.0,10
2018-08-28 00:47:59,rzgenie25,40392150647.0,1212312898519.0,20266451991.0,1379953858806.0,1785.0564333160062,3392346.8466830896,2996.994747901814,91946.90683742681,heterotaxia,4188255.57,tussal,2018-08-28 00:47:58,2018-08-28 00:48:01,3,4.0,36
2018-08-28 13:49:11,rzgenie31,29994239209.0,739651946319.0,9487865257.0,1014795841232.0,102.39863771343603,55.59926032096722,198.7973552483504,5.599925499953533,brackebuschite,4196561,purpurite,2018-08-28 13:49:18,2018-08-28 13:49:40,22,,144
2018-08-28 15:00:39,rzgenie29,30670170480.0,852114126030.0,10424980030.0,1150765386645.0,18411.1209880405,191977.1761233401,17666.024185649076,66256.91565616564,secularly,4196740,wakener,2018-08-28 15:00:37,2018-08-28 15:01:15,38,,144
2018-08-28 00:03:32,rzgenie26,46115147433.0,1295965923528.0,16921962494.0,1632271459879.0,320.2253932394484,584.8463771593674,726.457606649392,8346.661873755267,heterotaxia,4187288.0,Protobasidiomycetes,2018-08-28 00:03:20,2018-08-28 00:03:47,27,10.0,10
2018-08-28 16:20:43,rzgenie29,30714199495.0,856076991164.0,10467036102.0,1156335784402.0,10837.37829580839,16953.166047622013,22524.654889511807,24187.151560003018,bluish,4196834.427,headrent,2018-08-28 16:20:42,2018-08-28 16:20:43,1,4.0,4
2018-08-28 08:09:56,rzgenie13,91732350973.0,2123664217240.0,180963624922.0,3163882528364.0,23.801397109977835,288.81695316645374,532.0312295171516,33.601972390556945,parlousness,4192526,gamelotte,2018-08-28 08:07:17,2018-08-28 12:07:30,14413,36.0,36
2018-08-28 14:55:59,rzgenie38,22878908948.0,361198864675.0,5812277107.0,530733130063.0,2916.0498731623043,64346.493885085794,3384.741816357384,160786.53608273232,Podarginae,4196702,accessoriness,2018-08-28 14:44:24,2018-08-28 15:06:20,1316,,4
2018-08-28 02:24:44,rzgenie19,66829382433.0,2558100977476.0,39433162337.0,3226191528997.0,246.09301202828107,55.598421246535665,376.18931785875395,5.599840988859707,stentrel,4189678,untempled,2018-08-28 02:22:38,2018-08-28 02:25:27,169,,72
